                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.83214,                0.59269,                 1.1524,                0.86594,                0.83691,                0.87353,                0.47031,                 1.7995,                  0.816,                 2.2368,             0.00015194,             0.00015194,             0.00015194
                     81,                0.83641,                0.57961,                 1.1572,                0.89381,                0.84974,                0.87994,                0.47751,                 1.7735,                0.77248,                 2.2026,             0.00014534,             0.00014534,             0.00014534
                     82,                0.81719,                0.57925,                 1.1559,                0.87345,                0.84667,                0.87694,                0.47207,                 1.8022,                0.81582,                 2.2317,             0.00013874,             0.00013874,             0.00013874
                     83,                0.79612,                0.56377,                 1.1398,                0.85873,                0.83378,                0.86754,                0.46423,                  1.807,                0.81265,                 2.2601,             0.00013213,             0.00013213,             0.00013213
                     84,                0.81186,                0.60462,                 1.1472,                 0.8438,                0.83192,                0.85105,                0.47254,                  1.769,                0.80595,                 2.2409,             0.00012553,             0.00012553,             0.00012553
                     85,                0.80269,                0.57122,                 1.1497,                  0.843,                0.84054,                0.85535,                0.46099,                 1.8181,                0.80216,                 2.2694,             0.00011893,             0.00011893,             0.00011893
                     86,                0.77124,                0.54876,                 1.1269,                0.82997,                  0.852,                 0.8514,                0.46626,                 1.7962,                0.82281,                 2.2486,             0.00011232,             0.00011232,             0.00011232
                     87,                0.78251,                0.55781,                 1.1312,                 0.8385,                0.83024,                0.86234,                0.46789,                 1.7827,                0.85725,                 2.2285,             0.00010572,             0.00010572,             0.00010572
                     88,                0.77833,                0.54789,                 1.1275,                 0.8225,                  0.837,                0.85721,                0.47298,                 1.7789,                 0.8199,                 2.2403,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     89,                0.75043,                0.53813,                 1.1109,                0.85855,                0.81578,                0.86139,                0.46958,                 1.7879,                0.82897,                 2.2638,             9.2513e-05,             9.2513e-05,             9.2513e-05
                     90,                0.74639,                0.53571,                 1.1054,                0.86595,                0.84263,                0.86388,                0.47373,                  1.776,                0.82945,                 2.2744,              8.591e-05,              8.591e-05,              8.591e-05
                     91,                0.62966,                0.35627,                 1.0504,                 0.8451,                0.81694,                0.83885,                0.46031,                  1.804,                0.81253,                 2.3119,             7.9306e-05,             7.9306e-05,             7.9306e-05
                     92,                0.57617,                0.32096,                  1.022,                0.85562,                0.82313,                0.85494,                0.46779,                 1.8106,                0.80231,                 2.3293,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     93,                0.56374,                0.30833,                 1.0188,                0.85712,                0.83893,                0.86307,                 0.4681,                 1.7979,                0.81081,                 2.3005,               6.61e-05,               6.61e-05,               6.61e-05
                     94,                0.54359,                0.29934,                 1.0003,                0.86137,                0.83063,                0.87083,                0.47304,                  1.802,                0.78834,                 2.3457,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     95,                0.53763,                0.29507,                0.99738,                0.85173,                0.82181,                0.86371,                0.47091,                 1.7952,                0.81646,                 2.3408,             5.2893e-05,             5.2893e-05,             5.2893e-05
                     96,                0.52809,                0.29402,                0.98916,                0.85623,                0.84462,                0.86539,                0.46238,                 1.7896,                0.82601,                 2.3183,              4.629e-05,              4.629e-05,              4.629e-05
                     97,                0.52471,                0.29273,                0.98242,                0.88452,                0.83964,                0.87846,                0.47652,                 1.7868,                 0.7764,                  2.345,             3.9687e-05,             3.9687e-05,             3.9687e-05
                     98,                 0.4999,                0.28102,                 0.9737,                0.87061,                  0.842,                0.87576,                0.48522,                 1.7606,                0.78695,                 2.3237,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     99,                0.50698,                0.28527,                0.98112,                0.86953,                0.82716,                0.86466,                0.47931,                  1.764,                0.80583,                  2.339,              2.648e-05,              2.648e-05,              2.648e-05
                    100,                0.48529,                0.27526,                0.95922,                0.85618,                0.84333,                0.87415,                 0.4763,                 1.7669,                0.81647,                 2.3481,             1.9877e-05,             1.9877e-05,             1.9877e-05
